Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2014","2014","tonnes","319982","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2014","2014","tonnes","177835","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2015","2015","tonnes","416624","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2015","2015","tonnes","2069985","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2015","2015","tonnes","1331585","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2015","2015","tonnes","221779","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2015","2015","tonnes","351443","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2015","2015","tonnes","118286","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2016","2016","tonnes","725670","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2016","2016","tonnes","1937171","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2016","2016","tonnes","722387","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2016","2016","tonnes","285156","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2016","2016","tonnes","390461","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2016","2016","tonnes","76159","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2017","2017","tonnes","636655","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2017","2017","tonnes","2014832","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2017","2017","tonnes","1057879","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2017","2017","tonnes","261816","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2017","2017","tonnes","483027","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2017","2017","tonnes","83689","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2018","2018","tonnes","465701","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2018","2018","tonnes","2122679","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2018","2018","tonnes","1060236","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2018","2018","tonnes","264335","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2018","2018","tonnes","708565","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2018","2018","tonnes","60619","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2019","2019","tonnes","912999","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2019","2019","tonnes","1667930","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2019","2019","tonnes","1156806","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2019","2019","tonnes","254409","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2019","2019","tonnes","453306","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2019","2019","tonnes","56018","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1901","Textile Fibres","2020","2020","tonnes","370301","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","1901","Textile Fibres","2020","2020","tonnes","2156122","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1901","Textile Fibres","2020","2020","tonnes","1224050","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1901","Textile Fibres","2020","2020","tonnes","211414","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1901","Textile Fibres","2020","2020","tonnes","893269","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1901","Textile Fibres","2020","2020","tonnes","45057","A","Aggregate, may include official, semi-official, estimated or calculated data"
